event_start date	Longitude	Latitude	Location_name	Species	susceptible	cases	dead
28/08/2018	11.96	51.5	Halle	Strix nebulosa	4	2	2
28/08/2018	12.06	51.67	KleinweiÃŸandt	Accipiter gentilis		1	1
28/08/2018	11.72	52.01	SchÃ¶nebeck (Elbe)	Accipiter gentilis	2	1	0
28/08/2018	11.84	51.39	Bad LauchstÃ¤dt	Strigidae (incognita)		1	1
28/08/2018	11.94	51.54	Petersberg	Equidae (dom)	8	1	0
28/08/2018	11.75	51.79	Bernburg	Accipiter gentilis	2	1	0
12/09/2018	11.82	48.17	Poing	Strix nebulosa	4	2	2
10/09/2018	12.59	51.61	Bad DÃ¼ben	Accipiter gentilis	1	1	1
05/09/2018	13.52	52.49	Berlin	Bubo scandiacus	4	2	2
05/09/2018	13.42	52.52	Berlin	Turdidae (incognita)		1	1
21/09/2018	13.56	51.46	Plessa	Equidae (dom)	12	1	0
26/09/2018	12.34	53.92	Laage	Turdidae (incognita)		1	1
03/07/2019	12.64	51.86	Wittenberg, Lutherstadt	Bubo scandiacus	5	2	2
03/07/2019	11.96	51.5	Halle (Saale), Stadt	Pelecanidae (incognita)	25	1	1
03/07/2019	11.93	51.51	Halle (Saale), Stadt	Parus major		1	1
03/07/2019	12.1	51.44	Kabelsketal	Psittacidae (incognita)	50	1	1
03/07/2019	11.96	51.5	Halle (Saale), Stadt	Psittacidae (incognita)	40	1	1
03/07/2019	11.64	52.16	Magdeburg	Strigidae (incognita)	2	2	2
03/07/2019	12.08	51.11	Teuchern, Stadt	Equidae (dom)	3	1	0
03/07/2019	13.07	51.76	Annaburg, Stadt	Equidae (dom)	4	2	0
03/07/2019	12.3	51.71	Anhalt-Bitterfeld	Accipitridae (incognita)	3	3	3
03/07/2019	12	51.35	Saalekreis	Accipitridae (incognita)	1	1	1
03/07/2019	12.01	51.43	Halle (Saale), Stadt	Equidae (dom)	1	1	0
03/07/2019	11.72	51.68	KÃ¶nnern	Equidae (dom)	46	3	0
03/07/2019	12.02	51.55	Landsberg, Stadt	Equidae (dom)	41	1	0
03/07/2019	13.04	51.73	Annaburg, Stadt	Equidae (dom)	5	1	0
03/07/2019	11.62	52.15	Magdeburg	Passeridae (incognita)		1	1
03/07/2019	12.3	51.64	Bitterfeld-Wolfen, Stadt	Equidae (dom)	58	1	0
03/07/2019	12.2	51.55	Sandersdorf	Equidae (dom)	6	1	0
03/07/2019	12.09	51.65	SÃ¼dliches Anhalt	Equidae (dom)	98	1	0
03/07/2019	11.75	51.66	KÃ¶nnern, Stadt	Equidae (dom)	2	1	0
03/07/2019	12.88	51.79	Jessen (Elster), Stadt	Equidae (dom)	5	1	0
03/07/2019	12.71	51.83	Kemberg, Stadt	Equidae (dom)	6	1	0
03/07/2019	11.98	51.86	Aken (Elbe), Stadt	Equidae (dom)	4	1	0
03/07/2019	11.72	51.68	KÃ¶nnern, Stadt	Equidae (dom)	4	2	0
03/07/2019	11.69	51.44	Seegebiet Mansfelder Land	Equidae (dom)	1	1	0
03/07/2019	11.72	51.68	KÃ¶nnern, Stadt	Equidae (dom)	46	3	0
03/07/2019	12.26	51.56	Sandersdorf	Equidae (dom)	7	1	0
03/07/2019	11.64	51.86	Salzlandkreis	Passeridae (incognita)		1	1
03/07/2019	12.07	51.83	Aken (Elbe), Stadt	Equidae (dom)	15	1	0
13/08/2019	13.67	51.1	Radebeul	Parus major		1	1
13/08/2019	12.41	51.32	Leipzig	Parus major		1	1
13/08/2019	12.56	51.49	Zschepplin	Equidae (dom)	10	1	0
13/08/2019	12.46	51.38	Leipzig	Passeridae (incognita)	4	1	1
13/08/2019	14.3	51.49	Elsterheide	Equidae (dom)	35	1	0
13/08/2019	14.09	51.31	Bautzen	Charadriidae (incognita)	1	1	1
13/08/2019	12.44	51.32	Leipzig	Passeridae (incognita)	1	1	1
13/08/2019	12.67	51.35	Leipzig	Strigidae (incognita)	1	1	1
13/08/2019	13.73	51.06	Dresden, Stadt	Passeridae (incognita)	1	1	1
13/08/2019	12.83	50.81	Chemnitz, Stadt	Strigidae (incognita)	1	1	1
13/08/2019	12.37	51.44	Nordsachsen	Passeridae (incognita)	5	5	4
13/08/2019	12.3	51.34	Leipzig	Passeridae (incognita)	1	1	1
13/08/2019	12.98	51.64	Beilrode	Equidae (dom)	4	1	0
13/08/2019	12.37	51.34	Leipzig	Phoenicopteridae (incognita)	138	3	3
13/08/2019	12.63	51.45	Eilenburg	Equidae (dom)	10	2	1
13/08/2019	12.27	51.27	Leipzig	Equidae (dom)	18	1	0
13/08/2019	12.83	50.81	Chemnitz	Accipitridae (incognita)	3	3	2
13/08/2019	12.83	50.81	Chemnitz	Psittacidae (incognita)	17	1	1
13/08/2019	12.19	51.28	MarkranstÃ¤dt	Equidae (dom)	4	1	0
13/08/2019	12.34	51.43	Rackwitz	Equidae (dom)	28	1	0
13/08/2019	12.56	51.49	Zschepplin	Equidae (dom)	2	2	0
20/08/2019	13.53	52.5	Berlin	Bubo scandiacus	114	12	12
20/08/2019	13.33	52.5	Berlin	Laridae (incognita)	14	6	4
20/08/2019	13.54	52.44	Berlin	Accipitridae (incognita)	9	9	2
20/08/2019	13.58	52.43	Berlin, Stadt	Passeridae (incognita)		1	1
09/09/2019	12.99	52.57	Havelland	Accipitridae (incognita)	1	1	1
09/09/2019	12.8	52.92	Ostprignitz-Ruppin	Accipitridae (incognita)	1	1	0
09/09/2019	13.22	51.65	Herzberg	Equidae (dom)	2	1	0
09/09/2019	14.35	51.74	Cottbus	Spheniscidae (incognita)	15	1	1
09/09/2019	13.03	52.19	Beelitz	Strigidae (incognita)	7	2	2
09/09/2019	14.61	51.73	Spree-NeiÃŸe	Passeridae (incognita)		1	1
09/09/2019	14.33	51.78	Cottbus	Equidae (dom)	7	1	0
09/09/2019	14.02	51.46	Senftenberg	Equidae (dom)	17	1	0
09/09/2019	13.22	51.46	MÃ¼hlberg/Elbe	Equidae (dom)	8	3	0
09/09/2019	13.59	51.44	Elsterwerda	Equidae (dom)	7	1	0
19/09/2019	9.89	53.56	Hamburg, Stadt	Passeridae (incognita)		1	1
08/10/2019	10.64	51.09	Bad Langensalza	Equidae (dom)	4	1	0
13/07/2020	11.96	51.5	Halle (Saale), Stadt	Corvidae (incognita)	2	1	1
13/07/2020	11.74	51.78	Bernburg (Saale), Stadt	Strigidae (incognita)	6	1	1
13/07/2020	11.72	51.79	Bernburg (Saale), Stadt	Phoenicopteridae (incognita)	21	2	2
13/07/2020	11.96	51.5	Halle (Saale), Stadt	Phoenicopteridae (incognita)	37	6	3
13/07/2020	11.62	52.15	Magdeburg, Landeshauptstadt	Strigidae (incognita)	2	2	2
13/07/2020	12.48	51.62	Muldestausee	Equidae (dom)	4	1	0
13/07/2020	12.1	51.27	Bad DÃ¼rrenberg, Stadt	Equidae (dom)	1	1	0
13/07/2020	12.14	51.53	Landsberg, Stadt	Equidae (dom)	1	1	0
13/07/2020	12.17	51.42	Kabelsketal	Passeridae (incognita)		1	1
13/07/2020	11.28	52.42	CalvÃ¶rde, Flecken	Equidae (dom)	6	1	0
13/07/2020	11.76	51.67	KÃ¶nnern, Stadt	Equidae (dom)	1	1	0
13/07/2020	11.75	51.74	Bernburg (Saale), Stadt	Equidae (dom)	1	1	0
13/07/2020	12.745	51.844	Zahna-Elster	Equidae (dom)	1	1	0
13/07/2020	11.73	51.79	Bernburg (Saale)	Spheniscus humboldti	23	1	1
13/07/2020	12.23	51.84	Dessau-RoÃŸlau, Stadt	Strigidae (incognita)	2	1	1
13/07/2020	11.8	52.43	TangerhÃ¼tte	Passeridae (incognita)	9	9	8
13/07/2020	11.6	52.1	Magdeburg, Landeshauptstadt	Passeridae (incognita)	2	2	2
13/07/2020	11.66	51.64	Gerbstedt, Stadt	Accipitridae (incognita)		1	1
13/07/2020	11.95	52.43	TangerhÃ¼tte	Passeridae (incognita)	15	4	3
20/07/2020	11.02	51.02	Erfurt	Strigidae (incognita)	3	1	1
11/08/2020	14.63	51.74	Forst (Lausitz)	Bombycillidae (incognita)	4	2	2
11/08/2020	13.56	51.49	Hohenleipisch	Passeridae (incognita)		1	1
11/08/2020	13.51	52.6	Ahrensfelde	Accipitridae (incognita)		1	1
11/08/2020	13.08	52.24	Michendorf	Strigidae (incognita)	2	2	2
11/08/2020	13.68	51.64	Finsterwalde	Equidae (dom)	15	1	0
11/08/2020	13.14	52.5	Dallgow-DÃ¶beritz	Equidae (dom)	1	1	0
11/08/2020	13.33	51.92	Dahme/Mark	Accipitridae (incognita)	1	1	0
11/08/2020	13.95	51.86	LÃ¼bbenau/Spreewald	Equidae (dom)	2	1	0
11/08/2020	13.98	51.67	Luckaitztal	Equidae (dom)	2	1	0
11/08/2020	13.08	52.24	Michendorf	Strigidae (incognita)	3	3	3
11/08/2020	13.16	52.25	Ludwigsheide	Equidae (dom)	25	1	0
11/08/2020	13.38	52.24	Zossen	Equidae (dom)	3	1	0
11/08/2020	13.38	52.04	Nuthe-Urstromtal	Equidae (dom)	2	1	0
11/08/2020	13.76	52.1	MÃ¤rkisch Buchholz	Equidae (dom)	40	1	0
11/08/2020	13.69	51.87	Luckau	Equidae (dom)	2	1	0
11/08/2020	13	52.27	Seddiner See	Accipitridae (incognita)		1	1
11/08/2020	13.23	52.36	Stahnsdorf	Equidae (dom)	31	1	0
11/08/2020	13.23	52.36	Stahnsdorf	Equidae (dom)	31	1	0
11/08/2020	13.34	52.22	Zossen	Equidae (dom)	14	1	0
11/08/2020	13	52.57	Brieselang	Equidae (dom)	100	1	0
11/08/2020	14.01	51.48	Senftenberg	Passeridae (incognita)		1	1
11/08/2020	13	52.57	Brieselang	Equidae (dom)	105	1	0
11/08/2020	13.89	51.92	LÃ¼bben (Spreewald)	Equidae (dom)	3	1	1
11/08/2020	13.44	52.38	SchÃ¶nefeld	Equidae (dom)	5	1	0
11/08/2020	12.54	52.33	Kloster Lehnin	Equidae (dom)	2	1	0
11/08/2020	13.94	51.86	LÃ¼bbenau/Spreewald	Equidae (dom)	2	1	0
11/08/2020	13.08	52.53	Dallgow-DÃ¶beritz	Equidae (dom)	140	1	0
25/08/2020	13.36	52.45	Berlin, Stadt	Passeridae (incognita)		1	1
25/08/2020	13.19	52.52	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.66	52.36	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.45	52.44	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.36	52.42	Berlin, Stadt	Passeridae (incognita)		1	1
25/08/2020	13.6	52.51	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.55	52.5	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.52	52.45	Berlin, Stadt	Passeridae (incognita)		1	1
25/08/2020	13.47	52.47	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.29	52.52	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.35	52.56	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.33	52.5	Berlin, Stadt	Phoenicopteridae (incognita)	1	1	1
25/08/2020	13.4	52.5	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.23	52.43	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.29	52.42	Berlin, Stadt	Corvus corone		1	1
25/08/2020	13.64	52.37	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.19	52.52	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.35	52.56	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.23	52.43	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.23	52.43	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.36	52.42	Berlin, Stadt	Passeridae (incognita)		1	1
25/08/2020	13.45	52.44	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.34	52.43	Berlin, Stadt	Corvidae (incognita)		1	1
25/08/2020	13.22	52.54	Berlin, Stadt	Accipitridae (incognita)	1	1	1
25/08/2020	13.51	52.4	Berlin, Stadt	Equidae (dom)	2	1	0
25/08/2020	13.27	52.43	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.22	52.55	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.27	52.43	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.54	52.53	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.58	52.54	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.47	52.49	Berlin, Stadt	Accipitridae (incognita)		1	1
25/08/2020	13.52	52.5	Berlin	Phoenicopteridae (incognita)	66	1	1
25/08/2020	13.52	52.5	Berlin	Phoenicopteridae (incognita)	34	2	2
25/08/2020	13.52	52.5	Berlin	Laridae (incognita)	9	2	1
30/07/2020	12.29	51.31	Leipzig	Accipitridae (incognita)		1	0
30/07/2020	12.42	51.32	Leipzig	Passeridae (incognita)	2	2	2
30/07/2020	12.41	51.31	Leipzig	Accipitridae (incognita)	1	1	1
30/07/2020	12.46	51.27	Leipzig	Equidae (dom)	1	1	0
30/07/2020	12.84	50.88	Chemnitz	Equidae (dom)	1	1	0
30/07/2020	12.37	51.34	Leipzig	Phoenicopteridae (incognita)	1	1	1
30/07/2020	14.06	51.33	Kamenz	Equidae (dom)	20	1	0
30/07/2020	13.23	51.23	Stauchitz	Equidae (dom)	4	1	0
30/07/2020	13.61	51.12	Radebeul	Equidae (dom)	2	1	1
30/07/2020	12.56	51.61	Bad DÃ¼ben	Passeridae (incognita)		1	1
30/07/2020	12.46	51.55	LÃ¶bnitz	Equidae (dom)	1	1	0
30/07/2020	13.18	51.28	LiebschÃ¼tzberg	Equidae (dom)	2	1	1
30/07/2020	12.22	51.38	Schkeuditz	Passeridae (incognita)		1	1
30/07/2020	12.37	51.34	Leipzig	Phoenicopteridae (incognita)	1	1	1
30/07/2020	13.11	51.29	Oschatz	Equidae (dom)	1	1	0
19/08/2020	11.02	51.02	Erfurt	Phoenicopteridae (incognita)	41	2	2
19/08/2020	11.02	51.02	Erfurt	Strigidae (incognita)	3	2	2
19/08/2020	12.09	50.86	Gera	Passeridae (incognita)		1	1
19/08/2020	12.09	50.83	Gera	Corvidae (incognita)		1	1
19/08/2020	11.63	51.09	Bad Sulza	Passeridae (incognita)		1	1
24/09/2020	10.81	52.26	KÃ¶nigslutter am Elm	Equidae (dom)	93	1	0
16/04/2021	13.52	52.41	Berlin	Equidae (dom)	60	1	0
16/04/2021	13.33	52.52	Berlin	Corvidae (incognita)		1	1
16/04/2021	13.33	52.52	Berlin	Accipitridae (incognita)		2	2
16/04/2021	13.41	52.59	Berlin	Accipitridae (incognita)	1	1	0
16/04/2021	13.33	52.5	Berlin	Phoenicopteridae (incognita)	1	1	1
16/04/2021	13.33	52.5	Berlin	Strigidae (incognita)	1	1	1
16/04/2021	13.52	52.5	Berlin	Psittacidae (incognita)	1	1	1
16/04/2021	13.51	52.41	Berlin	Equidae (dom)	60	1	0
16/04/2021	13.22	52.42	Berlin	Accipitridae (incognita)		5	5
09/08/2021	13.75	51.03	Dresden	Spheniscus humboldti	15	1	0
09/08/2021	13.75	51.03	Dresden	Pelecanidae (incognita)	30	1	1
09/08/2021	12.44	51.29	Leipzig	Passeridae (incognita)		1	1
09/08/2021	12.91	51.62	Elsnig	Equidae (dom)	6	1	0
05/07/2022	11.64	52.16	Magdeburg	Strigidae (incognita)	4	1	1
05/07/2022	11.73	51.79	Bernburg (Saale)	Spheniscus humboldti	12	1	0
05/07/2022	11.94	51.19	WeiÃŸenfels	Passeridae (incognita)	60	15	15
05/07/2022	11.39	52.6	Gardelegen	Equidae (dom)	1	1	0
05/07/2022	12.86	51.79	Jessen (Elster)	Passeridae (incognita)		1	1
05/07/2022	11.66	52.12	Magdeburg	Passeridae (incognita)	8	8	8
05/07/2022	11.64	52.16	Magdeburg	Passeridae (incognita)		1	1
05/07/2022	11.96	51.5	Halle (Saale)	Psittacidae (incognita)	17	1	1
05/07/2022	11.364	52.269	Haldensleben	Accipitridae (incognita)		1	1
05/07/2022	11.87	51.97	Barby	Birds	40	1	1
05/07/2022	11.694	51.9905	SchÃ¶nebeck (Elbe)	Strigidae (incognita)	1	1	1
05/07/2022	11.64	52.16	Magdeburg	Accipitridae (incognita)		1	1
05/07/2022	11.54	52.62	Bismark (Altmark)	Equidae (dom)	5	1	1
05/07/2022	12.16	51.39	Schkopau	Equidae (dom)	1	1	0
05/07/2022	11.64	52.16	Magdeburg	Strigidae (incognita)	0	1	1
05/07/2022	11.39	52.21	Hohe BÃ¶rde	Equidae (dom)	2	1	0
05/07/2022	11.53	52.58	Gardelegen	Equidae (dom)	1	1	0
05/07/2022	12.78	51.94	Zahna-Elster	Equidae (dom)	1	1	0
22/07/2022	13.145	52.508	Dallgow-DÃ¶beritz	Equidae (dom)	1	1	0
22/07/2022	12.95	52.07	Treuenbrietzen	Accipitridae (incognita)		1	1
22/07/2022	13.51	52.27	Mittenwalde	Equidae (dom)	17	1	0
22/07/2022	13.16	52.28	Ludwigsfelde	Equidae (dom)	50	1	0
22/07/2022	13.61	52.67	Bernau bei Berlin	Passeridae (incognita)	8	1	1
22/07/2022	14.05	51.75	Vetschau/Spreewald	Equidae (dom)	1	1	0
22/07/2022	13.2	52.4	Kleinmachnow	Accipitridae (incognita)		1	1
29/07/2022	13.33	52.48	Berlin	Accipitridae (incognita)		5	5
29/07/2022	13.33	52.5	Berlin	Accipitridae (incognita)	1	1	1
29/07/2022	13.33	52.5	Berlin	Passeridae (incognita)	1	1	1
29/07/2022	13.239	52.425	Berlin	Accipitridae (incognita)		6	5
29/07/2022	13.239	52.425	Berlin	Corvidae (incognita)		1	1
29/07/2022	13.46	52.48	Berlin	Passeridae (incognita)		1	1
29/07/2022	13.46	52.48	Berlin	Accipitridae (incognita)		3	2
29/07/2022	13.33	52.5	Berlin	Strigidae (incognita)	1	1	1
29/07/2022	13.37	52.54	Berlin	Accipitridae (incognita)		2	1
29/07/2022	13.37	52.54	Berlin	Corvidae (incognita)		1	1
29/07/2022	13.33	52.5	Berlin	Strigidae (incognita)	1	1	1
29/07/2022	13.33	52.5	Berlin	Phasianidae (incognita)		1	1
29/07/2022	13.33	52.5	Berlin	Corvidae (incognita)		1	1
29/07/2022	13.33	52.5	Berlin	Passeridae (incognita)		1	1
12/08/2022	14.97	51.14	GÃ¶rlitz	Strigidae (incognita)	1	1	1
12/08/2022	13.75	51.03	Dresden	Strigidae (incognita)	1	1	1
12/08/2022	13.75	51.03	Dresden	Phoenicopteridae (incognita)	1	1	1
12/08/2022	13.75	51.03	Dresden	Passeridae (incognita)	1	1	1
12/08/2022	12.19	51.28	MarkranstÃ¤dt	Equidae (dom)	3	1	0
12/08/2022	13.31	51.3	Riesa	Strigidae (incognita)		1	1
12/08/2022	14.63	51.51	WeiÃŸwasser/O.L.	Strigidae (incognita)	1	1	1
12/08/2022	13.75	51.03	Dresden	Phoenicopterus ruber	3	3	2
12/08/2022	12.22	51.38	Schkeuditz	Equidae (dom)	1	1	0
